159.41280,0.91,559.00
160.32958,0.92,560.00
161.25919,0.94,561.00
162.19262,0.93,562.00
163.13679,0.96,563.00
164.08201,0.93,564.00
165.01127,0.93,565.00
165.93083,0.91,566.00
166.85316,0.93,567.00
167.78138,0.93,568.00
168.69643,0.90,569.00
169.60177,0.91,570.00
170.50469,0.90,571.00
171.41661,0.92,572.00
172.34588,0.93,573.00
173.27965,0.93,574.00
174.20406,0.92,575.00
175.11634,0.91,576.00
176.02965,0.92,577.00
176.94123,0.90,578.00
177.84796,0.91,579.00
178.76474,0.93,580.00
179.69193,0.93,581.00
180.62986,0.95,582.00
181.57785,0.95,583.00
182.53173,0.96,584.00
183.47833,0.93,585.00
184.40378,0.92,586.00
185.32993,0.94,587.00
186.25573,0.92,588.00
187.12050,0.81,589.00
187.95337,0.85,590.00
188.82889,0.90,591.00
189.72417,0.89,592.00
190.62154,0.90,593.00
191.52306,0.90,594.00
192.41245,0.88,595.00
193.30739,0.91,596.00
194.21412,0.90,597.00
195.11599,0.90,598.00
196.01751,0.90,599.00
196.92043,0.90,600.00
197.82022,0.90,601.00
198.71308,0.89,602.00
199.61009,0.90,603.00
200.52168,0.92,604.00
201.43846,0.91,605.00
202.35212,0.91,606.00
203.26960,0.92,607.00
204.18742,0.91,608.00
205.10177,0.92,609.00
206.01370,0.91,610.00
206.92494,0.91,611.00
207.83756,0.91,612.00
208.74290,0.90,613.00
209.63645,0.89,614.00
210.53381,0.91,615.00
211.42632,0.88,616.00
212.30358,0.88,617.00
213.19678,0.91,618.00
214.10212,0.90,619.00
215.00573,0.91,620.00
215.91176,0.91,621.00
216.80912,0.89,622.00
217.68811,0.87,623.00
218.55150,0.86,624.00
219.41141,0.86,625.00
220.28069,0.88,626.00
221.16315,0.89,627.00
222.02722,0.84,628.00
222.88333,0.87,629.00
223.74636,0.85,630.00
224.60905,0.87,631.00
225.47591,0.86,632.00
226.35177,0.89,633.00
227.23700,0.88,634.00
228.12466,0.89,635.00
229.01301,0.88,636.00
229.90205,0.90,637.00
230.80219,0.90,638.00
231.70163,0.89,639.00
232.59241,0.89,640.00
233.47903,0.89,641.00
234.36356,0.88,642.00
235.25226,0.89,643.00
236.14546,0.89,644.00
237.03867,0.89,645.00
237.92355,0.88,646.00
238.79491,0.87,647.00
239.66349,0.87,648.00
240.52514,0.85,649.00
241.37917,0.85,650.00
242.25191,0.89,651.00
243.12674,0.86,652.00
243.99602,0.88,653.00
244.87119,0.87,654.00
245.72625,0.84,655.00
246.51751,0.74,656.00
247.26994,0.76,657.00
248.07750,0.85,658.00
248.93222,0.86,659.00
249.78797,0.86,660.00
250.64199,0.85,661.00
251.49324,0.85,662.00
252.33652,0.84,663.00
253.18187,0.85,664.00
254.03763,0.86,665.00
254.89789,0.86,666.00
255.76127,0.86,667.00
256.62639,0.87,668.00
257.49948,0.88,669.00
258.37778,0.88,670.00
259.25434,0.88,671.00
260.12743,0.87,672.00
261.00365,0.88,673.00
261.88506,0.88,674.00
262.76127,0.87,675.00
263.63679,0.88,676.00
264.51093,0.87,677.00
265.38194,0.87,678.00
266.24740,0.86,679.00
267.10940,0.87,680.00
267.97244,0.86,681.00
268.83270,0.86,682.00
269.69193,0.86,683.00
270.54872,0.86,684.00
271.40760,0.86,685.00
272.26786,0.86,686.00
273.00333,0.61,687.00
273.65871,0.70,688.00
274.35739,0.70,689.00
275.07098,0.73,690.00
275.81370,0.76,691.00
276.58277,0.78,692.00
277.36016,0.77,693.00
278.13166,0.77,694.00
278.91356,0.80,695.00
279.70968,0.80,696.00
280.52764,0.84,697.00
281.36051,0.83,698.00
282.17951,0.81,699.00
282.98603,0.80,700.00
283.78457,0.80,701.00
284.58208,0.80,702.00
285.38236,0.80,703.00
286.19512,0.82,704.00
287.02036,0.83,705.00
287.84560,0.82,706.00
288.67050,0.83,707.00
289.49678,0.83,708.00
290.32410,0.83,709.00
291.15212,0.83,710.00
291.98014,0.83,711.00
292.80573,0.82,712.00
293.62611,0.82,713.00
294.44442,0.82,714.00
295.25233,0.80,715.00
296.04879,0.80,716.00
296.80087,0.71,717.00
297.48080,0.65,718.00
298.10690,0.60,719.00
298.72147,0.63,720.00
299.37882,0.69,721.00
300.10843,0.77,722.00
300.85843,0.73,723.00
301.55181,0.66,724.00
302.20836,0.65,725.00
302.87552,0.68,726.00
303.56065,0.69,727.00
304.23086,0.65,728.00
304.89245,0.67,729.00
305.58305,0.71,730.00
306.27882,0.68,731.00
306.98118,0.72,732.00
307.72285,0.76,733.00
308.49123,0.78,734.00
309.26030,0.76,735.00
310.02140,0.76,736.00
310.78388,0.76,737.00
311.55226,0.77,738.00
312.31751,0.76,739.00
313.08485,0.78,740.00
313.85739,0.77,741.00
314.62577,0.77,742.00
315.40420,0.79,743.00
316.19130,0.79,744.00
316.97702,0.79,745.00
317.76481,0.79,746.00
318.55573,0.79,747.00
319.34699,0.79,748.00
320.13305,0.78,749.00
320.91426,0.78,750.00
321.69130,0.77,751.00
322.46627,0.78,752.00
323.24505,0.78,753.00
324.02695,0.78,754.00
324.80781,0.78,755.00
325.58659,0.78,756.00
326.36606,0.78,757.00
327.14137,0.77,758.00
327.90524,0.76,759.00
328.36894,0.17,760.00
328.50354,0.10,761.00
328.76921,0.43,762.00
329.10670,0.24,763.00
329.39865,0.34,764.00
329.78565,0.43,765.00
330.25722,0.51,766.00
330.82403,0.62,767.00
331.48728,0.70,768.00
332.19602,0.71,769.00
332.92070,0.74,770.00
333.65788,0.74,771.00
334.39782,0.74,772.00
335.14089,0.75,773.00
335.88464,0.74,774.00
336.62389,0.74,775.00
337.36488,0.75,776.00
338.10552,0.74,777.00
338.83922,0.73,778.00
339.57119,0.73,779.00
340.30177,0.73,780.00
341.03097,0.73,781.00
341.76294,0.73,782.00
342.49109,0.72,783.00
343.21474,0.73,784.00
343.93770,0.72,785.00
344.66204,0.73,786.00
345.38499,0.72,787.00
346.09858,0.71,788.00
346.80801,0.71,789.00
347.50944,0.69,790.00
348.20462,0.70,791.00
348.89907,0.69,792.00
349.58565,0.68,793.00
350.27150,0.69,794.00
350.96835,0.70,795.00
351.66238,0.68,796.00
352.34782,0.69,797.00
353.04241,0.70,798.00
353.74352,0.70,799.00
354.43711,0.69,800.00
355.12462,0.69,801.00
355.81058,0.69,802.00
356.49324,0.68,803.00
357.17393,0.68,804.00
357.85354,0.68,805.00
358.54040,0.70,806.00
359.23215,0.69,807.00
359.92039,0.69,808.00
360.60316,0.68,809.00
361.27785,0.67,810.00
361.95156,0.68,811.00
362.61814,0.66,812.00
363.27022,0.65,813.00
363.88135,0.58,814.00
364.45576,0.57,815.00
365.00916,0.53,816.00
365.54782,0.54,817.00
366.08173,0.52,818.00
366.63402,0.58,819.00
367.19844,0.55,820.00
367.78915,0.63,821.00
368.41339,0.62,822.00
368.93839,0.43,823.00
369.45614,0.60,824.00
370.06814,0.62,825.00
370.68027,0.60,826.00
371.29727,0.63,827.00
371.88561,0.54,828.00
372.45684,0.60,829.00
373.05132,0.59,830.00
373.64335,0.59,831.00
374.22806,0.58,832.00
374.82081,0.61,833.00
375.42053,0.59,834.00
376.03711,0.64,835.00
